Restaurant_ID,Name,City,Cuisine,Rating,Votes,Cost
1,Restaurant_1,San Antonio,Chinese,3.5,248,108.0
2,Restaurant_2,Houston,American,3.3,4788,77.0
3,Restaurant_3,San Diego,Chinese,4.0,1040,56.0
4,Restaurant_4,Phoenix,Korean,4.1,1391,103.0
5,Restaurant_5,San Antonio,Thai,2.9,2172,60.0
6,Restaurant_6,San Jose,Italian,3.6,1335,57.0
7,Restaurant_7,Chicago,Mediterranean,3.6,2259,86.0
8,Restaurant_8,San Antonio,Mediterranean,2.8,499,134.0
9,Restaurant_9,San Diego,American,3.3,810,122.0
10,Restaurant_10,Phoenix,Mediterranean,4.4,4984,19.0
11,Restaurant_11,Houston,Korean,4.4,3713,144.0
12,Restaurant_12,San Diego,Japanese,2.7,3704,125.0
13,Restaurant_13,San Diego,American,4.1,1210,26.0
14,Restaurant_14,Chicago,Chinese,,3745,31.0
15,Restaurant_15,Philadelphia,French,3.5,1986,68.0
16,Restaurant_16,Phoenix,Indian,3.7,1491,53.0
17,Restaurant_17,Los Angeles,Korean,4.3,4270,20.0
18,Restaurant_18,San Diego,Chinese,3.7,3048,51.0
19,Restaurant_19,Philadelphia,Japanese,3.1,4919,32.0
20,Restaurant_20,Los Angeles,French,3.0,2934,127.0
21,Restaurant_21,Phoenix,Mediterranean,3.9,4364,71.0
22,Restaurant_22,New York,Japanese,3.4,1817,120.0
23,Restaurant_23,San Jose,American,3.5,4319,63.0
24,Restaurant_24,Philadelphia,Mexican,4.5,1275,91.0
25,Restaurant_25,Dallas,Mexican,4.1,3022,128.0
26,Restaurant_26,New York,Mediterranean,4.9,2877,118.0
27,Restaurant_27,San Jose,Mexican,3.1,4014,121.0
28,Restaurant_28,Chicago,Mexican,3.3,4087,22.0
29,Restaurant_29,San Antonio,Chinese,3.9,1147,77.0
30,Restaurant_30,Houston,Chinese,5.0,237,116.0
31,Restaurant_31,Dallas,Indian,3.2,2122,36.0
32,Restaurant_32,Chicago,Thai,3.8,4595,124.0
33,Restaurant_33,Phoenix,Mediterranean,4.7,1545,83.0
34,Restaurant_34,Chicago,Mexican,3.8,3983,101.0
35,Restaurant_35,San Antonio,Indian,4.5,4363,94.0
36,Restaurant_36,Phoenix,Mediterranean,5.0,986,125.0
37,Restaurant_37,Dallas,Mexican,4.0,1623,84.0
38,Restaurant_38,San Antonio,Korean,4.1,3121,93.0
39,Restaurant_39,Los Angeles,Italian,4.3,3726,92.0
40,Restaurant_40,Houston,Korean,3.2,3901,147.0
41,Restaurant_41,Dallas,French,2.8,722,24.0
42,Restaurant_42,Los Angeles,Mediterranean,3.9,1095,54.0
43,Restaurant_43,San Jose,Thai,3.4,3827,91.0
44,Restaurant_44,Dallas,French,4.5,4285,16.0
45,Restaurant_45,San Jose,Indian,4.0,995,87.0
46,Restaurant_46,Phoenix,Indian,4.5,4661,39.0
47,Restaurant_47,Los Angeles,Mexican,3.0,992,127.0
48,Restaurant_48,Houston,French,4.5,2783,58.0
49,Restaurant_49,San Antonio,Mexican,2.2,155,110.0
50,Restaurant_50,San Diego,Mediterranean,3.0,1895,90.0
51,Restaurant_51,Chicago,Indian,4.2,1776,39.0
52,Restaurant_52,New York,Italian,3.4,4768,12.0
53,Restaurant_53,Houston,Indian,3.5,2116,46.0
54,Restaurant_54,Los Angeles,Chinese,3.9,2420,39.0
55,Restaurant_55,San Diego,Japanese,4.8,54,63.0
56,Restaurant_56,Houston,Thai,2.5,84,122.0
57,Restaurant_57,Los Angeles,French,4.7,2888,95.0
58,Restaurant_58,Philadelphia,Mexican,4.7,4687,109.0
59,Restaurant_59,Philadelphia,Japanese,3.4,2779,94.0
60,Restaurant_60,San Jose,Japanese,3.3,2669,144.0
61,Restaurant_61,Houston,Korean,3.7,3836,17.0
